Ticker,Date,Revenue,NetIncome,EBITDA,TotalDebt,TotalAssets,TotalEquity,SharesOutstanding,EPS,BookValuePerShare
BMY,2024-12-31,12342000000.0,72000000.0,2551000000.0,51200000000.0,92603000000.0,16335000000.0,2028179968,0.0354998082694799,8.054019001138267
BMY,2025-03-31,11201000000.0,2456000000.0,4477000000.0,51239000000.0,92427000000.0,17389000000.0,2034759936,1.2070219963285145,8.545971292409012
BMY,2025-06-30,12269000000.0,1310000000.0,3269000000.0,50929000000.0,94676000000.0,17435000000.0,2037720064,0.6428753503209359,8.556131093775205
BRK-B,2023-12-31,,,,,,,2178240000,,
BRK-B,2024-03-31,,,,,,,2162210048,,
BRK-B,2024-06-30,117510000000.0,30348000000.0,,123628000000.0,1108860000000.0,601697000000.0,2158020096,14.062890357810645,278.81899761511767
BRK-B,2024-09-30,113509000000.0,26251000000.0,,124507000000.0,1147251000000.0,629069000000.0,2141949952,12.255655168548028,293.68986862303683
BRK-B,2024-12-31,101468000000.0,19694000000.0,,124762000000.0,1153881000000.0,649368000000.0,2156270080,9.133364221238928,301.153369433202
BRK-B,2025-03-31,83290000000.0,4603000000.0,,125927000000.0,1164532000000.0,654471000000.0,2158149888,2.132845371674203,303.2555818477053
BRK-B,2025-06-30,98879000000.0,12370000000.0,,127020000000.0,1163968000000.0,667989000000.0,2159640064,5.72780631652516,309.305708453462
C,2023-12-31,,,,,,,1913880064,,
C,2024-03-31,,,,,,,1915280000,,
C,2024-06-30,20037000000.0,3217000000.0,,319015000000.0,2405686000000.0,208310000000.0,1907440000,1.686553705490081,109.20920186218176
C,2024-09-30,20265000000.0,3238000000.0,,340421000000.0,2430663000000.0,209083000000.0,1907800064,1.697242840641817,109.59376925568654
C,2024-12-31,19586000000.0,2856000000.0,,335805000000.0,2352945000000.0,208598000000.0,1891260032,1.5101043493103332,110.29577978201571
C,2025-03-31,21601000000.0,4064000000.0,,344823000000.0,2571514000000.0,212408000000.0,1882160000,2.159221320185319,112.85331746504016
C,2025-06-30,21661000000.0,4019000000.0,,373321000000.0,2622772000000.0,213222000000.0,1867730048,2.1518098958163785,114.16103747344113
CAT,2023-12-31,,,,,,,509084992,,
CAT,2024-03-31,,,,,,,499376992,,
CAT,2024-06-30,16689000000.0,2681000000.0,4168000000.0,37311000000.0,83336000000.0,17130000000.0,496492000,5.399885597351015,34.50206649855385
CAT,2024-09-30,16106000000.0,2464000000.0,3766000000.0,37901000000.0,86273000000.0,19397000000.0,484897984,5.081481221419143,40.00222859247854
CAT,2024-12-31,16215000000.0,2791000000.0,3905000000.0,38409000000.0,87764000000.0,19491000000.0,482801984,5.7808378848749715,40.37058803801436
CAT,2025-03-31,14249000000.0,2003000000.0,3226000000.0,38588000000.0,84974000000.0,18067000000.0,477932000,4.190972774369576,37.80244888394165
CAT,2025-06-30,16569000000.0,2179000000.0,3498000000.0,40748000000.0,90325000000.0,18661000000.0,476574016,4.572217382493635,39.156561989313325
CHTR,2023-12-31,,,,,,,147920000,,
CHTR,2024-03-31,,,,,,,144386000,,
CHTR,2024-06-30,13685000000.0,1231000000.0,5348000000.0,97565000000.0,148611000000.0,12879000000.0,144030000,8.54683052141915,89.4188710685274
CHTR,2024-09-30,13795000000.0,1280000000.0,5336000000.0,96313000000.0,149371000000.0,14099000000.0,142740992,8.967290909677859,98.773308230897
CHTR,2024-12-31,13926000000.0,1466000000.0,5488000000.0,95763000000.0,150020000000.0,15587000000.0,142184000,10.310583469307376,109.62555561807235
CHTR,2025-03-31,13735000000.0,1217000000.0,5276000000.0,95557000000.0,150954000000.0,16247000000.0,142014000,8.569577647274212,114.40421366907488
CHTR,2025-06-30,13766000000.0,1301000000.0,5348000000.0,96283000000.0,151589000000.0,16209000000.0,138134000,9.418390837882056,117.34258039295176
CL,2023-12-31,,,,,,,823372032,,
CL,2024-03-31,,,,,,,821985984,,
CL,2024-06-30,5058000000.0,731000000.0,1249000000.0,8676000000.0,16480000000.0,123000000.0,820441024,0.8909842129005973,0.1499193682445601
CL,2024-09-30,5033000000.0,737000000.0,1215000000.0,8436000000.0,16774000000.0,435000000.0,817086976,0.901984760065494,0.5323790646248167
CL,2024-12-31,4945000000.0,739000000.0,1191000000.0,8512000000.0,16046000000.0,212000000.0,817011008,0.9045165765991736,0.259482427928315
CL,2025-03-31,4911000000.0,690000000.0,1167000000.0,8269000000.0,16647000000.0,363000000.0,811084032,0.8507133327462671,0.4475491880969492
CL,2025-06-30,5110000000.0,743000000.0,1229000000.0,8758000000.0,17470000000.0,702000000.0,810419968,0.9168086045974624,0.8662175510463237
CMCSA,2023-12-31,,,,,,,4025080064,,
CMCSA,2024-03-31,,,,,,,3971859968,,
CMCSA,2024-06-30,29688000000.0,3929000000.0,9741000000.0,98128000000.0,262555000000.0,83219000000.0,3923630080,1.0013686101621486,21.209695690782347
CMCSA,2024-09-30,32070000000.0,3629000000.0,9734000000.0,101364000000.0,269871000000.0,85774000000.0,3863059968,0.9394107339935552,22.20364185658947
CMCSA,2024-12-31,31914000000.0,4777000000.0,8476000000.0,99093000000.0,266211000000.0,85560000000.0,3826540032,1.2483862601858702,22.35962495740068
CMCSA,2025-03-31,29887000000.0,3375000000.0,9391000000.0,99122000000.0,267770000000.0,86638000000.0,3771579904,0.8948504568127003,22.971275222915175
CMCSA,2025-06-30,30313000000.0,11123000000.0,19906000000.0,101528000000.0,273850000000.0,96851000000.0,3733700096,2.979082334951414,25.93968382831785
COF,2023-12-31,,,,,,,380847008,,
COF,2024-03-31,,,,,,,380392000,,
COF,2024-06-30,9506000000.0,597000000.0,,47241000000.0,480018000000.0,57981000000.0,389729984,1.5318297911612568,148.7722330340383
COF,2024-09-30,10014000000.0,1777000000.0,,48816000000.0,486433000000.0,62925000000.0,381856000,4.6535866923657085,164.7872496438448
COF,2024-12-31,10190000000.0,1096000000.0,,44989000000.0,490144000000.0,60784000000.0,381510016,2.8727948259161824,159.3247816592055
COF,2025-03-31,10000000000.0,1404000000.0,,41200000000.0,493604000000.0,63542000000.0,382959008,3.666188732137096,165.92376383009642
COF,2025-06-30,12577000000.0,-4277000000.0,,51924000000.0,658968000000.0,110956000000.0,639635008,-6.686625882740927,173.46767861711535
COP,2023-12-31,,,,,,,1187410048,,
COP,2024-03-31,,,,,,,1176409984,,
COP,2024-06-30,13620000000.0,2329000000.0,6300000000.0,18352000000.0,95994000000.0,49745000000.0,1180269952,1.9732773812071087,42.147137538921264
COP,2024-09-30,13041000000.0,2059000000.0,5894000000.0,18304000000.0,96699000000.0,49881000000.0,1161250048,1.7730892700897438,42.954573036108066
COP,2024-12-31,14236000000.0,2306000000.0,5908000000.0,24324000000.0,122780000000.0,64796000000.0,1293560064,1.7826771745482706,50.091218647888006
COP,2025-03-31,16517000000.0,2849000000.0,7572000000.0,23784000000.0,124254000000.0,65238000000.0,1272380032,2.2391109011053705,51.27241732759289
COP,2025-06-30,14004000000.0,1971000000.0,6206000000.0,23529000000.0,122599000000.0,65572000000.0,1272489984,1.5489316417283483,51.53046454155823
COST,2023-11-30,,,,,,,442740992,,
COST,2024-02-29,,,,,,,443728000,,
COST,2024-05-31,58515000000.0,1681000000.0,2841000000.0,9297000000.0,67911000000.0,21771000000.0,443504000,3.7902702117681017,49.08862152314297
COST,2024-08-31,79697000000.0,2354000000.0,3868000000.0,8272000000.0,69831000000.0,23622000000.0,443335008,5.309754378792482,53.28250549525744
COST,2024-11-30,62151000000.0,1798000000.0,2891000000.0,8033000000.0,73386000000.0,24451000000.0,443073984,4.058013029264205,55.18491467104509
COST,2025-02-28,63723000000.0,1788000000.0,3010000000.0,8039000000.0,73224000000.0,25577000000.0,443899008,4.027943220814767,57.61896183376918
COST,2025-05-31,63205000000.0,1903000000.0,3167000000.0,8180000000.0,75482000000.0,27125000000.0,443519008,4.290684199943016,61.158596386471
CRM,2024-01-31,,,,,,,968000000,,
CRM,2024-04-30,9133000000.0,1533000000.0,2596000000.0,12516000000.0,96180000000.0,59683000000.0,970000000,1.5804123711340206,61.52886597938144
CRM,2024-07-31,9325000000.0,1429000000.0,2789000000.0,11393000000.0,92180000000.0,57633000000.0,969000000,1.474716202270382,59.476780185758514
CRM,2024-10-31,9444000000.0,1527000000.0,2763000000.0,11424000000.0,91395000000.0,58525000000.0,956000000,1.5972803347280335,61.21861924686193
CRM,2025-01-31,9993000000.0,1708000000.0,2995000000.0,11392000000.0,102928000000.0,61173000000.0,957000000,1.7847439916405434,63.92163009404389
CRM,2025-04-30,9829000000.0,1541000000.0,2821000000.0,11369000000.0,98610000000.0,60666000000.0,959473984,1.6060883626835265,63.22839494520364
CSCO,2024-01-31,,,,,,,4063480064,,
CSCO,2024-04-30,12702000000.0,1886000000.0,3453000000.0,31993000000.0,122998000000.0,45768000000.0,4055970048,0.4649935718657457,11.284106997429188
CSCO,2024-07-31,13642000000.0,2162000000.0,3637000000.0,30962000000.0,124413000000.0,45457000000.0,4028809984,0.5366348893559533,11.282984350348553
CSCO,2024-10-31,13841000000.0,2711000000.0,3474000000.0,31987000000.0,123333000000.0,45277000000.0,3986020096,0.680127027638548,11.358949255031552
CSCO,2025-01-31,13991000000.0,2428000000.0,4052000000.0,31037000000.0,121375000000.0,45530000000.0,3993410048,0.6080016754643074,11.401283477714133
CSCO,2025-04-30,14149000000.0,2491000000.0,3976000000.0,29279000000.0,119782000000.0,45935000000.0,3978289920,0.6261484331438569,11.546418416886016
CVS,2023-12-31,,,,,,,1286899968,,
CVS,2024-03-31,,,,,,,1258450048,,
CVS,2024-06-30,91234000000.0,1770000000.0,4220000000.0,83822000000.0,252481000000.0,74930000000.0,1255369984,1.409942903334544,59.687582907829025
CVS,2024-09-30,95428000000.0,87000000.0,2018000000.0,82704000000.0,252427000000.0,74944000000.0,1257980032,0.0691584904266588,59.57487248891404
CVS,2024-12-31,97710000000.0,1644000000.0,4031000000.0,82920000000.0,253215000000.0,75560000000.0,1258409984,1.306410486965749,60.04402457124816
CVS,2025-03-31,94588000000.0,1779000000.0,4556000000.0,81213000000.0,255585000000.0,76929000000.0,1260800000,1.4110088832487309,61.016021573604064
CVS,2025-06-30,98915000000.0,1021000000.0,3581000000.0,82724000000.0,258343000000.0,77379000000.0,1265020032,0.8071018435856674,61.16820132694942
CVX,2023-12-31,,,,,,,1887750016,,
CVX,2024-03-31,,,,,,,1857270016,,
CVX,2024-06-30,49574000000.0,4434000000.0,11334000000.0,23184000000.0,260644000000.0,159233000000.0,1828800000,2.424540682414698,87.06966316710411
CVX,2024-09-30,48926000000.0,4487000000.0,10883000000.0,25841000000.0,259232000000.0,156202000000.0,1814749952,2.472516941000586,86.07356612840952
CVX,2024-12-31,48334000000.0,3239000000.0,10349000000.0,24541000000.0,256938000000.0,152318000000.0,1782919936,1.8166828103715813,85.43176669039164
CVX,2025-03-31,46101000000.0,3500000000.0,10030000000.0,29681000000.0,256397000000.0,149244000000.0,1760600064,1.9879585781953033,84.76882572690853
CVX,2025-06-30,44375000000.0,2490000000.0,8830000000.0,29467000000.0,250820000000.0,146417000000.0,1732230016,1.4374534426725925,84.52514888184457
DE,2024-01-31,,,,,,,279990016,,
DE,2024-04-30,14997000000.0,2370000000.0,4478000000.0,65907000000.0,105628000000.0,22684000000.0,278358016,8.514215017253177,81.4921744520553
DE,2024-07-31,12848000000.0,1734000000.0,3748000000.0,66113000000.0,107841000000.0,23062000000.0,275569984,6.292412456648399,83.68835990497426
DE,2024-10-31,10827000000.0,1245000000.0,2909000000.0,65463000000.0,107320000000.0,22836000000.0,273600000,4.550438596491228,83.46491228070175
DE,2025-01-31,8262000000.0,869000000.0,2273000000.0,64655000000.0,103119000000.0,22479000000.0,272351008,3.1907353909995444,82.53687094853711
DE,2025-04-30,12525000000.0,1804000000.0,3676000000.0,66601000000.0,106303000000.0,24287000000.0,271414016,6.646672219020553,89.48321961383158
DHR,2023-12-31,,,,,,,738926976,,
DHR,2024-03-31,,,,,,,740544000,,
DHR,2024-06-30,5743000000.0,907000000.0,1728000000.0,17010000000.0,78555000000.0,49897000000.0,740686976,1.2245388799708017,67.36583957431432
DHR,2024-09-30,5798000000.0,818000000.0,1655000000.0,17524000000.0,80615000000.0,51299000000.0,726120000,1.1265355588607944,70.64810224205365
DHR,2024-12-31,6538000000.0,1086000000.0,1971000000.0,17146000000.0,77542000000.0,49543000000.0,722275008,1.5035824138608431,68.59298667578985
DHR,2025-03-31,5741000000.0,954000000.0,1792000000.0,16477000000.0,79116000000.0,50849000000.0,715449984,1.333426544601055,71.07275300463212
DHR,2025-06-30,5936000000.0,555000000.0,1337000000.0,17355000000.0,81620000000.0,52334000000.0,725244992,0.7652586451779319,72.16044312926465
DIS,2023-12-31,,,,,,,1830320000,,
DIS,2024-03-31,,,,,,,1834300032,,
DIS,2024-06-30,23155000000.0,2621000000.0,4822000000.0,47584000000.0,197772000000.0,100622000000.0,1823040000,1.4377084430401963,55.19461997542566
DIS,2024-09-30,22574000000.0,460000000.0,2765000000.0,48743000000.0,196219000000.0,100696000000.0,1813590016,0.2536405670199719,55.52302290574586
